                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.80926,                0.68782,                0.67947,                0.98872,                0.81204,                0.70229,                 0.7572,                0.56302,                0.82118,                0.70992,                0.73855,                0.41365,                0.99761,                0.66079,                 1.0563,                 1.1356,              0.0013664,              0.0013664,              0.0013664
                     35,                0.79201,                0.66195,                0.67359,                 1.0058,                 0.9029,                0.70981,                0.79557,                0.59575,                0.91404,                0.73059,                0.79151,                0.43118,                0.99054,                0.68382,                 0.9721,                 1.1169,              0.0013466,              0.0013466,              0.0013466
                     36,                0.78911,                0.63656,                 0.6555,                0.99372,                0.81521,                0.70992,                0.77705,                0.57864,                0.83623,                0.71756,                0.78767,                0.39994,                0.97796,                0.72928,                0.96548,                 1.0852,              0.0013268,              0.0013268,              0.0013268
                     37,                0.74036,                0.65534,                0.69101,                0.97685,                0.82963,                0.74046,                0.77453,                0.60687,                0.82108,                0.73282,                0.75936,                0.44369,                0.92583,                0.73423,                0.88563,                 1.0614,               0.001307,               0.001307,               0.001307
                     38,                0.79608,                0.67394,                0.70223,                 0.9984,                0.87831,                0.71623,                0.74895,                0.55216,                0.87842,                0.71702,                0.73952,                0.40547,                 1.0579,                0.74633,                 1.0165,                 1.1576,              0.0012872,              0.0012872,              0.0012872
                     39,                 0.7884,                0.63165,                0.68314,                 1.0048,                  0.815,                0.70229,                0.74645,                0.53917,                0.81409,                0.70198,                0.74778,                0.36659,                  1.055,                0.74189,                 1.0199,                 1.1601,              0.0012674,              0.0012674,              0.0012674
                     40,                0.73355,                0.65044,                0.62905,                0.97673,                0.79065,                0.76336,                0.76908,                0.57593,                0.84945,                0.70229,                0.77154,                  0.444,                0.98911,                0.65369,                0.94263,                 1.1175,              0.0012476,              0.0012476,              0.0012476
                     41,                0.77279,                0.63003,                0.66059,                0.99013,                0.85733,                0.73394,                0.77339,                0.57047,                0.82213,                0.73282,                0.76324,                0.43773,                 1.0328,                0.65586,                 0.9807,                 1.1763,              0.0012278,              0.0012278,              0.0012278
                     42,                0.75223,                0.63595,                0.64251,                0.97365,                 0.8784,                0.71684,                0.76325,                0.56817,                0.86326,                0.70229,                0.77599,                0.41993,                 1.0719,                0.64971,                  1.004,                 1.2177,               0.001208,               0.001208,               0.001208
                     43,                0.76073,                 0.6446,                0.61338,                 0.9702,                0.87793,                0.71374,                0.76169,                 0.5641,                0.86854,                0.70611,                0.76861,                 0.4364,                 1.0303,                0.64934,                0.99438,                 1.1674,              0.0011882,              0.0011882,              0.0011882
                     44,                0.76504,                0.63841,                0.61866,                0.98166,                0.80462,                0.69162,                0.70557,                0.50223,                0.80486,                0.69267,                0.70658,                0.39272,                 1.0524,                0.64939,                 1.1557,                 1.1909,              0.0011684,              0.0011684,              0.0011684
                     45,                0.73594,                0.60017,                0.62658,                0.97914,                0.82781,                0.73398,                0.76023,                 0.5497,                0.82283,                0.71756,                0.74636,                0.40134,                 1.0066,                0.76047,                 1.0262,                 1.1336,              0.0011486,              0.0011486,              0.0011486
                     46,                0.72115,                0.61006,                0.61214,                0.96511,                0.84693,                0.70229,                0.75198,                0.55862,                0.83772,                0.69466,                0.76434,                0.45424,                 1.0565,                0.65578,                0.98672,                 1.1661,              0.0011288,              0.0011288,              0.0011288
                     47,                0.70415,                0.58978,                0.59831,                0.97071,                0.86703,                0.71756,                0.78982,                0.57972,                0.84939,                0.71756,                0.77594,                0.45559,                 1.0174,                0.68598,                0.92151,                 1.1286,               0.001109,               0.001109,               0.001109
