                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.70854,                  0.659,                0.56085,                0.99699,                0.91955,                0.83175,                0.87862,                0.75606,                0.92306,                0.83492,                0.88408,                0.54231,                0.54268,                0.31836,                0.49791,                0.90959,               0.001307,               0.001307,               0.001307
                     38,                0.70419,                0.67535,                0.54959,                0.99158,                0.89671,                0.84444,                0.89757,                0.75731,                0.89671,                0.84444,                0.89044,                0.43845,                0.56545,                0.38543,                0.49674,                0.91488,              0.0012872,              0.0012872,              0.0012872
                     39,                0.72819,                0.67106,                0.57391,                0.99648,                0.94126,                    0.8,                0.89442,                0.77383,                0.90901,                0.82458,                0.86603,                0.57849,                0.52614,                0.30285,                0.49106,                0.90271,              0.0012674,              0.0012674,              0.0012674
                     40,                0.70068,                0.65755,                0.55861,                0.98764,                0.89757,                0.82857,                0.88059,                0.75077,                0.90431,                0.81001,                0.87016,                0.49676,                0.57414,                0.35457,                0.52621,                0.91124,              0.0012476,              0.0012476,              0.0012476
                     41,                 0.7071,                0.65761,                0.55988,                0.99112,                0.93243,                0.83235,                0.89662,                0.76596,                0.92856,                0.82523,                0.87016,                0.50304,                0.51736,                0.31408,                0.49284,                0.88856,              0.0012278,              0.0012278,              0.0012278
                     42,                0.70403,                0.65655,                0.55386,                0.98706,                 0.9374,                0.80952,                  0.876,                0.74995,                0.92476,                    0.8,                0.85847,                0.53605,                0.53722,                0.30436,                0.48821,                0.91043,               0.001208,               0.001208,               0.001208
                     43,                0.69494,                0.63312,                0.54887,                0.97978,                0.88543,                0.80635,                0.85705,                0.73043,                 0.8795,                 0.8127,                0.85616,                0.44993,                0.55824,                0.37222,                0.49445,                0.90133,              0.0011882,              0.0011882,              0.0011882
                     44,                0.70518,                0.66084,                0.54123,                0.99199,                0.90915,                    0.8,                0.88096,                0.77627,                0.91998,                0.80952,                0.89136,                0.57945,                0.51869,                0.29135,                0.49857,                0.88592,              0.0011684,              0.0011684,              0.0011684
                     45,                0.67388,                0.63712,                0.53071,                0.97804,                0.91929,                0.83168,                0.87413,                0.75482,                0.91929,                0.83168,                0.88381,                0.54806,                0.52533,                 0.2985,                0.49456,                0.90536,              0.0011486,              0.0011486,              0.0011486
                     46,                0.68076,                0.63335,                0.52928,                0.97725,                0.91465,                0.83175,                0.87821,                0.77049,                0.91702,                0.83492,                0.87348,                0.53419,                0.50688,                0.31106,                0.46983,                0.87774,              0.0011288,              0.0011288,              0.0011288
                     47,                0.67493,                0.65404,                 0.5267,                0.98037,                0.92776,                0.81544,                0.87804,                0.75943,                0.93499,                0.82222,                0.87383,                0.56735,                0.50366,                0.29511,                0.47867,                0.89288,               0.001109,               0.001109,               0.001109
                     48,                0.67363,                0.66439,                  0.524,                0.97442,                 0.9141,                0.81905,                0.86513,                0.75749,                0.93079,                0.81118,                0.87413,                0.53045,                0.49556,                0.30333,                0.47366,                0.87857,              0.0010892,              0.0010892,              0.0010892
                     49,                0.65662,                0.62999,                0.50872,                0.96573,                0.83684,                0.78155,                0.82984,                0.71238,                0.85758,                0.82857,                0.85789,                0.49711,                0.54032,                0.32612,                 0.5708,                0.90268,              0.0010694,              0.0010694,              0.0010694
