                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.99936,                0.82579,                0.86829,                 1.0767,                0.73488,                0.83538,                0.79727,                0.55928,                0.74021,                0.79452,                0.76228,                0.39927,                 1.0153,                0.67905,                0.92665,                 1.2186,               0.001307,               0.001307,               0.001307
                     38,                0.97339,                0.79263,                0.86283,                 1.0777,                 0.8784,                0.79166,                0.82429,                0.61558,                0.87663,                0.78082,                0.79691,                 0.4405,                 1.0092,                0.59212,                0.90236,                 1.2363,              0.0012872,              0.0012872,              0.0012872
                     39,                0.96569,                0.79339,                0.81649,                 1.0655,                0.89045,                0.77944,                0.83937,                0.63233,                0.85924,                 0.7526,                0.80707,                0.44036,                0.95114,                0.63198,                0.86353,                 1.1863,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.0411,                0.88753,                0.87008,                 1.0957,                0.81602,                0.83562,                 0.8093,                0.61002,                0.79507,                0.80822,                0.81494,                0.45436,                0.96667,                0.59366,                0.93686,                 1.1802,              0.0012476,              0.0012476,              0.0012476
                     41,                0.99022,                0.87165,                0.85651,                 1.0718,                0.83755,                0.78082,                0.81166,                0.63054,                0.81241,                0.79452,                0.81874,                0.50561,                0.88637,                0.57936,                0.91997,                 1.1263,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.0035,                0.82502,                 0.8719,                 1.1044,                0.78321,                0.80822,                0.83026,                  0.665,                0.78321,                0.80822,                0.81743,                0.47503,                0.92905,                0.57163,                0.84912,                 1.1672,               0.001208,               0.001208,               0.001208
                     43,                 1.0294,                0.87455,                0.86232,                 1.0901,                0.80773,                0.82192,                0.81671,                0.61671,                0.79427,                0.80822,                0.81283,                0.44692,                0.98473,                 0.5774,                 0.8995,                 1.1688,              0.0011882,              0.0011882,              0.0011882
                     44,                0.99856,                0.82546,                0.84068,                  1.064,                0.88101,                0.81145,                0.82611,                0.62874,                0.88101,                0.81145,                0.81628,                0.47908,                0.95838,                0.54426,                0.93988,                 1.1537,              0.0011684,              0.0011684,              0.0011684
                     45,                0.99691,                0.84629,                0.85523,                  1.079,                0.87814,                0.78977,                0.82369,                0.64369,                0.87814,                0.78977,                0.82666,                 0.4841,                0.93209,                0.53685,                0.87536,                 1.1394,              0.0011486,              0.0011486,              0.0011486
                     46,                0.94156,                0.76697,                0.80412,                 1.0533,                0.79242,                0.86301,                0.83105,                0.63603,                0.76664,                0.83562,                0.82353,                 0.4641,                0.95015,                0.55545,                 0.8548,                 1.1678,              0.0011288,              0.0011288,              0.0011288
                     47,                0.97556,                0.81282,                0.83245,                 1.0751,                0.80367,                0.84117,                0.82548,                0.64008,                 0.8199,                0.81073,                0.82057,                0.48031,                0.90379,                0.57604,                0.85855,                 1.1364,               0.001109,               0.001109,               0.001109
                     48,                0.94701,                0.84571,                0.78623,                 1.0471,                0.83545,                0.83465,                0.81187,                0.61856,                0.82142,                0.82192,                0.78141,                0.43898,                0.94003,                0.57414,                0.86611,                 1.1732,              0.0010892,              0.0010892,              0.0010892
                     49,                0.91851,                0.77759,                0.76459,                 1.0546,                0.81073,                0.82151,                0.79711,                 0.6263,                0.82364,                 0.8317,                0.81158,                0.45627,                0.92087,                0.56772,                0.87612,                 1.1539,              0.0010694,              0.0010694,              0.0010694
                     50,                0.98629,                0.77913,                0.81682,                 1.0895,                0.76124,                0.83562,                0.78706,                0.58984,                0.74917,                0.81831,                0.78415,                0.44872,                0.98003,                0.55612,                0.89857,                 1.2072,              0.0010496,              0.0010496,              0.0010496
                     51,                0.93885,                0.83055,                0.77736,                 1.0707,                0.70405,                0.84932,                0.78921,                0.58229,                0.75018,                0.83562,                0.81196,                0.44838,                 1.0102,                 0.6112,                0.93506,                 1.2212,              0.0010298,              0.0010298,              0.0010298
                     52,                0.94959,                0.82121,                0.79799,                 1.0733,                0.85595,                0.78082,                0.81367,                0.62766,                0.88865,                0.76528,                0.82915,                0.47902,                0.92304,                0.57206,                 0.8947,                 1.1643,                0.00101,                0.00101,                0.00101
                     53,                0.96679,                0.84477,                 0.8148,                 1.0588,                0.80601,                0.84932,                0.81217,                 0.6293,                0.78701,                0.80822,                0.79996,                0.46573,                0.93144,                0.57313,                0.84401,                 1.1381,              0.0009902,              0.0009902,              0.0009902
                     54,                0.97926,                0.83786,                0.81494,                 1.0566,                0.81339,                0.83595,                0.82426,                0.64623,                0.80638,                0.82192,                0.81311,                0.42268,                 0.8735,                0.58689,                0.80934,                 1.1381,              0.0009704,              0.0009704,              0.0009704
                     55,                0.92343,                0.74362,                0.81133,                 1.0656,                0.83297,                0.81981,                0.84641,                0.67129,                 0.8073,                0.79452,                0.82259,                0.50406,                0.87214,                0.53512,                0.83638,                  1.155,              0.0009506,              0.0009506,              0.0009506
                     56,                0.93515,                0.73559,                0.81782,                 1.0743,                0.78145,                0.80822,                0.81665,                0.62999,                0.78498,                0.80822,                0.78726,                0.45249,                0.92285,                0.56207,                 0.8981,                 1.1779,              0.0009308,              0.0009308,              0.0009308
                     57,                0.91934,                0.78881,                0.76855,                 1.0511,                0.83646,                0.84082,                0.84681,                0.65827,                0.83646,                0.84082,                0.82191,                0.48405,                0.88778,                0.52953,                0.82866,                 1.1674,               0.000911,               0.000911,               0.000911
                     58,                0.90508,                0.77757,                0.76274,                 1.0458,                0.85955,                 0.8384,                0.85304,                 0.6605,                0.84606,                0.82821,                0.81288,                 0.4567,                0.87231,                0.55685,                0.79376,                 1.1216,              0.0008912,              0.0008912,              0.0008912
                     59,                0.92842,                0.76582,                0.78749,                 1.0559,                0.87119,                 0.8339,                 0.8661,                0.66506,                0.88542,                0.84689,                  0.879,                0.52256,                0.89203,                0.53803,                0.74693,                 1.1495,              0.0008714,              0.0008714,              0.0008714
                     60,                0.90363,                0.81355,                0.73263,                 1.0431,                0.88161,                0.81616,                0.86851,                0.67125,                0.88161,                0.81616,                0.85482,                0.49155,                0.90907,                0.53797,                0.74966,                 1.1906,              0.0008516,              0.0008516,              0.0008516
                     61,                0.89909,                0.75384,                0.76008,                 1.0469,                0.88337,                0.83009,                0.86456,                0.66771,                0.85078,                0.85919,                0.84916,                0.50093,                0.87964,                0.51628,                0.74617,                 1.1659,              0.0008318,              0.0008318,              0.0008318
                     62,                0.91219,                0.78439,                0.74559,                 1.0558,                0.90081,                0.83562,                0.86601,                0.66059,                0.85662,                0.82192,                0.84998,                0.49935,                0.89926,                0.51547,                0.74633,                 1.1681,               0.000812,               0.000812,               0.000812
                     63,                0.89168,                0.72295,                0.78044,                 1.0454,                0.88043,                0.78082,                0.83729,                0.64165,                0.86499,                0.76712,                0.80476,                0.45582,                0.87788,                0.53222,                0.78933,                 1.1591,              0.0007922,              0.0007922,              0.0007922
